분반,수업,교수,구분,학년,시간,학점
07023-01,기초파이낸스,허성준,전기,1,수11~13(K260),3
07014-01,IT파이낸스프로그래밍,김수원,전필1,2,토4~6(K260),3
07020-01,회계학의이해2,김미옥,전선1,1,토1~3(K260),3
05214-01,금융시장의이해,이재영,자교,전체,"화2~3(N308), 목3(N308)",3
00080-01,경영학원론,홍기석,전기,전체,"수1(V321), 금1~2(V321)",3
00080-02,경영학원론,성재열,전기,전체,"월7(V321), 수6~7(V321)",3
00080-03,경영학원론,장상필,전기,전체,"월9(V321), 금7~8(V321)",3
00241-01,마케팅,김용철,전필1,2,"화6(M411), 목5~6(M411)",3
00241-02,마케팅,차현주,전필1,2,월2~4(N409),3
00241-03,마케팅,"차현주, 김기찬",전필1,2,화2~4(N412),3
05966-01,생산경영,권은영,전필1,2,월2~4(N407),3
05966-02,생산경영,권은영,전필1,2,월5~7(N218),3
06122-01,인적자원관리,박오원,전필1,2,"월6(N110), 수4~5(N110)",3
06122-02,인적자원관리,기리쉬,전필1,2,"화1(N209), 목1~2(N209)",3
06122-03,인적자원관리,전학철,전필1,2,수1~3(N311),3
00798-01,재무관리,박영규,전필1,2,"화6(N212), 목5~6(N212)",3
00798-02,재무관리,김태연,전필1,2,"화4~5(V321), 목4(V321)",3
00798-03,재무관리,유전무,전필1,2,화2~4(N407),3
00036-01,경영과학,김희경,전선1,2,월2~4(N311),3
04443-01,경영전략론,김병조,전선1,3,"화9(N210), 목8~9(N210)",3
04443-02,경영전략론,전학철,전선1,3,수5~7(N312),3
04439-01,경영정보론,신우식,전선1,2,목2~4(K360),3
00078-01,경영통계,박영규,전선1,1,"화4~5(N318), 목4(N318)",3
05461-01,경영학캡스톤디자인,이재영,전선1,4,"화5(K256), 목5~6(K256)",3
06609-01,경영학현장실습Ⅰ,"이재영, 성재열, 장상필",전선1,4,,3
06610-01,경영학현장실습Ⅱ,"이재영, 성재열, 장상필",전선1,4,,3
06606-01,경영학현장실습Ⅲ,"이재영, 성재열, 장상필",전선1,4,,3
06607-01,경영학현장실습Ⅳ,"이재영, 성재열, 장상필",전선1,4,,3
06608-01,경영학현장실습Ⅴ,"이재영, 성재열, 장상필",전선1,4,,3
00146-01,국제경영론,홍기석,전선1,3,"수2~3(N110), 금3(N110)",3
00146-02,국제경영론,홍기석,전선1,3,"화7~8(N218), 목7(N218)",3
06365-01,국제경영전략,김병조,전선1,4,"화7~8(B351), 목7(B351)",3
06086-01,글로벌경영캡스톤디자인,성재열,전선1,3,"화9(K257), 목8~9(K257)",3
05911-01,글로벌스타트업사례연구,장상필,전선1,4,"수8~9(N112), 금9(N112)",3
05636-01,글로벌시대의전략적사고,이동현,전선1,2,"월7(B338), 수6~7(B338)",3
05636-02,글로벌시대의전략적사고,이동현,전선1,2,"월8~9(N411), 수8(N411)",3
04744-01,기업가정신과경영,이진,전선1,3,"화2~3(N112), 목3(N112)",3
05499-01,기업과사회,라준영,전선1,3,"월6(N311), 수4~5(N311)",3
00178-01,기업윤리,기리쉬,전선1,3,"화2~3(K356), 목3(K356)",3
06196-01,데이터과학을위한프로그래밍,이홍주,전선1,2,"월7(K239), 수6~7(K239)",3
05497-01,데이터베이스활용,김동연,전선1,3,"월4~5(K239), 금4(K239)",3
06195-01,디지털비즈니스,김동연,전선1,3,금5~7(N318),3
06197-01,비즈니스를위한데이터마이닝,이홍주,전선1,3,"월8~9(K239), 수8(K239)",3
06879-01,사회적기업가정신과사회혁신,라준영,전선1,3,"화2~3(M213), 목3(M213)",3
05847-01,서비스경영,김희경,전선1,3,월6~8(N312),3
04446-01,서비스마케팅,김용철,전선1,3,"화7~8(N406), 목7(N406)",3
06179-01,어드벤처디자인:BusinessAnalytics의이해,김동연,전선1,2,"월3(M307), 수8~9(M307)",3
00841-01,조사방법론,김기찬,전선1,4,"월2~4(K269), 금2~4(K269)",3
00846-01,조직행위론,박오원,전선1,2,"월8~9(N308), 수1(N308)",3
00846-02,조직행위론,기리쉬,전선1,2,"월1~2(D303), 수3(D303)",3
05640-01,파생금융상품,김태연,전선1,3,"화6(N407), 목5~6(N407)",3
05965-01,플랫폼비즈니스경영,"김기찬, 차현주",전선1,3,"월8~9(N110), 수1(N110)",3
05100-01,환경경영,라준영,전선1,3,"화4~5(N311), 목4(N311)",3
05887-01,기업의사회적책임과기업가정신,윤병조,자교,전체,금6~8(K262),3
