건물,이름,위치,운영시간1,운영시간2,전화번호
k 김수환관,카페멘사,1층,평일 08:00 – 09:00,,02-2632-7000
k 김수환관,세탁소,1층,평일 10:00 - 17:00,토 10:00 - 14:00,010-2000-6252
k 김수환관,공차,1층,평일 10:00 - 16:30,,032-345-9687
k 김수환관,복사실,1층,평일 08:50 - 19:00,,02-2164-4725
k 김수환관,맘스터치,1층,평일 09:00 - 21:00,토 09:00 - 15:00,032-345-8892
k 김수환관,우리은행,1층,평일 09:00 - 16:00,,032-342-2641
k 김수환관,폴바셋,1층,평일 08:00~16:00,,
k 김수환관,트러스트짐,1층,평일 07:00 - 22:30,토 09:30 - 18:00,032-342-5406
k 김수환관,이마트24,1층,상시 07:00 - 24:00,,070-8808-1315
k 김수환관,글로벌라운지,1층,평일 09:00 - 17:00,,02-2164-6556
k 김수환관,커뮤니티라운지,"1층, 2층",07:00 - 22:00 (시험기간 변동),,
k 김수환관,미디어실,1층,상시,,
N 니콜스관,카페하랑,4층,평일 08:00 - 18:00,,02-2164-4682
N 니콜스관,증명무인발급,학생지원팀 앞,상시,,
N 니콜스관,증명창구발급,학생지원팀 앞,평일 8:30 - 17:30,,
N 니콜스관,무인택배함,1층,상시,,
N 니콜스관,우리은행ATM,1층,상시,,
N 니콜스관,학생지원팀,1층,평일 9:00 - 17:00,,02-2164-4854
N 니콜스관,취업지원팀,1층,평일 9:00 - 17:00,,02-2164-4735
N 니콜스관,남자휴게실,N306,,,
V 비루투스관,보건실,1층,평일 09:00 - 18:00,,02-2164-4126
BA 밤비노관,여자휴게실,BA306,,,
D 다솔관,복사실,2층,,,
B 학생미래인재관,교내 서점,1층,평일 08:00 - 19:00,토 09:00 - 14:00,032-344-8942
B 학생미래인재관,부온프란조,2층,중식 11:30 – 14:00,,02-2164-4736
B 학생미래인재관,카페보나,1층,중식 11:30 – 14:00,석식 17:30 – 19:00,02-2164-4729
B 학생미래인재관,폴바셋,2층,평일 08:00 - 16:00,,
B 학생미래인재관,CU편의점,1층,평일 08:00 - 21:30,주말 무인 24시 운영,032-343-3424
B 학생미래인재관,스타트업라운지,2층,평일 9:00~20:00,,
B 학생미래인재관,CUK드림라운지,1층,,,
T 미카엘관,학사지원팀,1층,평일 9:00 - 17:00,,02-2164-4854
T 미카엘관,우리은행ATM,1층,,,
L 베리타스관(중앙도서관),카페드림,2층,평일 08:00 - 19:00,토 10:00 - 16:00,010-9517-9417
L 베리타스관(중앙도서관),자료실,2층,평일 9:00 - 21:00,토 9:00 - 13:00,
L 베리타스관(중앙도서관),제 1자유 열람실,2층,06:00 - 23:00 (시험기간 변동),,
L 베리타스관(중앙도서관),제 2자유 열람실,5층,,,
L 베리타스관(중앙도서관),큐브 라운지,2층,07:00 – 23:00 (시험기간 변동),,
L 베리타스관(중앙도서관),미디어룸,2층,상시,,
A 안드레아관,커뮤니티라운지,1층. 2층,,,
