학과,전화번호,이메일,위치
국어국문학과 ,02-2164-4201,cukdkl@catholic.ac.kr,M204
철학과,02-2164-4560,cukdpy@catholic.ac.kr,M204
국사학과,02-2164-4240 ,cukdkh@catholic.ac.kr,M204
영어영문학부,02-2164-4220/4530 ,dengel@catholic.ac.kr,K341
중국언어문화학과,02-2164-4210/4219 ,dpt4203@catholic.ac.kr,M201-1
일어일본문화학과,02-2164-4460 ,cukjapan@catholic.ac.kr,M201
프랑스어문화학과,02-2164-4230 ,cukdptfrench@gmail.com ,M201
음악과,02-2164-4501 ,cukmusic@hanmail.net,A108
종교학과,02-2164-4550 ,cukrs@catholic.ac.kr,M208
사회복지학과,02-2164-4250 ,dpt3201@catholic.ac.kr,M210
심리학과,02-2164-4270 ,psycho@catholic.ac.kr,V205
사회학과,02-2164-4252,socio@catholic.ac.kr,M210
특수교육학과,02-2164-4490 ,dpt4610@catholic.ac.kr,M210
경영학과,02-2164-4280 ,dba@catholic.ac.kr,M209
회계학과,02-2164-4290 ,doaccy@catholic.ac.kr,M209
국제학부,02-2164-4411/4401 ,cukdis@catholic.ac.kr,K240
법학과,02-2164-4570 ,cuklaw26@gmail.com ,M206
경제학과,02-2164-4518 ,economics4518@naver.com,M206
행정학과,02-2164-4519 ,cukpublic@naver.com,M206
글로벌미래경영학과,,,
세무회계금융학과,,,
IT파이낸스학과,,,
화학과,02-2164-4330 ,chemdoc@catholic.ac.kr,D610
수학과,02-2164-4340 ,mathmts@catholic.ac.kr,D610
물리학과,02-2164-4380 ,physics@catholic.ac.kr,D610
공간디자인·소비자학과,02-2164-4301/4533 ,conshous@catholic.ac.kr,D212
의류학과,02-2164-4321,cukcnt4320@catholic.ac.kr,D206
아동학과,02-2164-4485 ,childsty@catholic.ac.kr,D206
식품영양학과,02-2164-4310 ,fncuk@catholic.ac.kr,D206
의생명학과,02-2164-4350,lifesci@catholic.ac.kr,D746
약학대학,02-2164-4049,ljiwon@catholic.ac.kr ,NP216
컴퓨터정보공학부,02-2164-4360 ,csdept@catholic.ac.kr,D413
미디어기술콘텐츠학과,02-2164-4991 ,dct@catholic.ac.kr,D212
정보통신전자공학부,02-2164-4875 ,dpt4770@catholic.ac.kr,D413
생명공학과,02-2164-4865 ,biotech@catholic.ac.kr,D746
에너지환경공학과,02-2164-4370 ,cukeem@catholic.ac.kr,D710
바이오메디컬화학공학과,02-2164-4375,bmce@catholic.ac.kr,D710
바이오메디컬소프트웨어공학과,02-2164-4301,regina725@catholic.ac.kr,D212
인공지능학과,02-2164-5522,rohsumin325@catholic.ac.kr,D212
데이터사이언스학과,02-2164-5508,regina725@catholic.ac.kr,D212
자유전공학과,02-2164-4951,cukdis@catholic.ac.kr,D237
학부대학,02-2164-4992,yejppmof@catholic.ac.kr ,D237
교직과,02-2164-6522,pcedue@catholic.ac.kr,H104
학사지원팀,02-2164-4854,academicaffairs@catholic.ac.kr,H104
학생지원팀,02-2164-4500,lijoha@catholic.ac.kr,N109
취창업지원팀,02-2164-4735,heejoo0323@catholic.ac.kr,AB101
기숙사운영팀,02-2165-4660/4661,dormitory1@catholic.ac.kr,K427
국제교류팀,02-2164-4955,cukintl@catholic.ac.kr,K340
장애학생지원센터,02-2164-4699,jycmin@catholic.ac.kr,N109
학생생활상담소,02-2164-4640,cukgcc@catholic.ac.kr,N121
인권센터(성폭력상담소),02-2164-4651,humanrights@catholic.ac.kr,N118
학생군사교육단,02-2164-4232,207rotc@catholic.ac.kr,M119
예비군대대본부,02-2164-4117 ,mp112kr@catholic.ac.kr ,B334
보건실,02-2154-4126,lebeca@catholic.ac.kr,V104
정보통신지원팀,02-2164-4161,center@catholic.ac.kr,M316
총무팀,02-2164-4132,chongmu@catholic.ac.kr,H203
홍보팀,02-2164-4168,prcuk@catholic.ac.kr,H303
시설관재팀,02-2164-4136,이메일 없다고함,H207
대학발전팀,02-2164-4848, zzkykzz@catholic.ac.kr ,H209
교목실,02-2164-4620,gyomok@catholic.ac.kr ,K343
평생교육원,02-2164-6586~8,cukedu@catholic.ac.kr,K202
재무팀,02-2164-5560,,H202
현장실습지원센터,02-2164-4788,nternship@catholic.ac.kr,AB101
